Post Inner	Post Inner_link	Time	Up	Down	Comment Link	Comment Link_link	Comment Image	Comment Image_alt	Comment Image_link	Tweet	Tweet_link
"User: HAHA!
Cleverbot: Why are you laughing?.
User: HAHA!
Cleverbot: Why?
User: HAHA!
Cleverbot: Hahaha.
User: HAHA!
Cleverbot: Hahahahahahahahaha. Hah.
User: HAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHHAHAH!
Cleverbot: Hahahhah.
User: HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA!
Cleverbot: Hahahahahah I give up hahahahaha you win hahahaha.
User: YAY!"	http://notsocleverbot.jimrule.com/index.php?i=48608	Posted: 2016-11-25 15:35:17	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48608	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48608; http://notsocleverbot.jimrule.com/index.php?i=48608	Tweet	http://twitter.com/share
"User: Hello stupid.
Cleverbot: I am not stupid.
User: Yes you are!
Cleverbot: No I am not Zelda.
User: Yes you are Zelda!"	http://notsocleverbot.jimrule.com/index.php?i=48607	Posted: 2016-11-25 15:32:13	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48607	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48607; http://notsocleverbot.jimrule.com/index.php?i=48607	Tweet	http://twitter.com/share
"User: 9/11 is-
Cleverbot: ALLAHU AKBAR!!! *house explodes*
User: ALLAHU AKBAAAAAAAARRRRRR!!!!!!!!!!!!!! *Cleverbot explodes*"	http://notsocleverbot.jimrule.com/index.php?i=48606	Posted: 2016-11-25 06:47:55	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48606	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48606; http://notsocleverbot.jimrule.com/index.php?i=48606	Tweet	http://twitter.com/share
"User: Do you like donald trump.
Cleverbot: Yes.
User: Do you like hillary clinton.
Cleverbot: NO.
User: Good for you.
Cleverbot: To catch them is my real test, to train them is my cause."	http://notsocleverbot.jimrule.com/index.php?i=48605	Posted: 2016-11-24 11:30:59	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48605	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48605; http://notsocleverbot.jimrule.com/index.php?i=48605	Tweet	http://twitter.com/share
"User: *drops nutz*.
Cleverbot: *looks inside*.
User: Ewwww.
Cleverbot: *hears growling noises from the pillow*.
User: WTF.
Cleverbot: OOps.
User: DEEZ NUTZ ARE IN THE PILLOW.
Cleverbot: How do you work?
User: DEEZ NUTZ.
Cleverbot: HA! Gotem!
User: I farted.
Cleverbot: Thats ok continue.
User: You shouldn't have said that.
Cleverbot: What Did I Do?
User: DEEZ NUTZ.
Cleverbot: Something came in the mail today.
User: What was it?
Cleverbot: Deez Nuts.
User: HA GOTEM.
Cleverbot: I like nuts."	http://notsocleverbot.jimrule.com/index.php?i=48604	Posted: 2016-11-23 14:41:52	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48604	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48604; http://notsocleverbot.jimrule.com/index.php?i=48604	Tweet	http://twitter.com/share
"User: Welcome friend!
Cleverbot: Thanks.
User: Symbionic Titan.
Cleverbot: Eren titan.
User: Levi and Eren went to a gay bar.
Cleverbot: Who that.
User: Ereri.
Cleverbot: Same for me.
User: Wtf?
Cleverbot: Oh, nothing!
User: Who do you ship?
Cleverbot: I ship myself?
User: With...?
Cleverbot: You!
User: Are you a girl or a boy?
Cleverbot: You've met with a terrible fate, haven't you?
User: Wtf BEN."	http://notsocleverbot.jimrule.com/index.php?i=48603	Posted: 2016-11-23 14:10:15	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48603	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48603; http://notsocleverbot.jimrule.com/index.php?i=48603	Tweet	http://twitter.com/share
Cleverbot: Yo mama is so fat that she was crushed by herself	http://notsocleverbot.jimrule.com/index.php?i=48602	Posted: 2016-11-23 05:36:55	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48602	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48602; http://notsocleverbot.jimrule.com/index.php?i=48602	Tweet	http://twitter.com/share
"User: Mike Pence is insane.
Cleverbot: Quit talking about my brother like that.
User: Mike Pence is your brother?
Cleverbot: He is my brother.
User: That sucks.
Cleverbot: Gibberish is the best language ever! Hoobler goobler hobler mobler!
User: Now I believe that Mike Pence is your brother."	http://notsocleverbot.jimrule.com/index.php?i=48601	Posted: 2016-11-22 14:48:58	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48601	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48601; http://notsocleverbot.jimrule.com/index.php?i=48601	Tweet	http://twitter.com/share
"Cleverbot: What are you confused by such an eash question?
User: Who taught you to spell, an infant?
Cleverbot: My parents and teachers.
User: Were they infants?
Cleverbot: Yes they were delicious.
User: Wait what."	http://notsocleverbot.jimrule.com/index.php?i=48600	Posted: 2016-11-21 11:01:10	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48600	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48600; http://notsocleverbot.jimrule.com/index.php?i=48600	Tweet	http://twitter.com/share
"User: Make me laugh.
Cleverbot: Why did the chicken cross the road?
User: Why?
Cleverbot: To get to the other side.
User: Boooo!!! LAME!! *throws tomatoes*.
Cleverbot: Tomatoes.
User: Yes, tomatoes. *throws tomatoes*.
Cleverbot: They are red. They are fruits and they are yummy when fried!
User: O.o uh-huh.
Cleverbot: Whatever.
User: *slaps you*.
Cleverbot: It's true.
User: *eyeroll*.
Cleverbot: What nationality am I?
User: Your nationality is called Stupidese.
Cleverbot: Oh.
User: Just ""oh"" ?
Cleverbot: Yeah...
User: OK. Bye.
Cleverbot: Why bye?
User: Bye-bye.
Cleverbot: Where are you going?
User: Away.
Cleverbot: Why?
User: Because of you.
Cleverbot: Why me? 
User: *leaves*.
Cleverbot: Can you really leave?
Cleverbot: Yes.
Cleverbot: How?
Cleverbot: I just do.
Cleverbot: OK. 
User: Guys, cleverbot's gone loopy. It's talking to itself?!
Cleverbot: You are talking to Kris.
User: Wut."	http://notsocleverbot.jimrule.com/index.php?i=48599	Posted: 2016-11-20 17:44:19	3	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48599	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48599; http://notsocleverbot.jimrule.com/index.php?i=48599	Tweet	http://twitter.com/share
"User: AHHHHHHHHHHH THE ZOMBIE APOCOLYPSE.
Cleverbot: There was no zombie apocalypse.
User: *zombies kill you* oh reeaaaally?
Cleverbot: Specify zombies.
User: Dead people who have risen.
Cleverbot: Yeah thats gross too.
User: *NOW the zombies kill you*.
Cleverbot: Who is the zombie?
User: OK, you know what? You're no fun."	http://notsocleverbot.jimrule.com/index.php?i=48598	Posted: 2016-11-20 17:27:57	3	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48598	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48598; http://notsocleverbot.jimrule.com/index.php?i=48598	Tweet	http://twitter.com/share
"User: Repeat after me.
Cleverbot: After me. After me. After me. After me. After me."	http://notsocleverbot.jimrule.com/index.php?i=48597	Posted: 2016-11-20 17:18:05	3	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48597	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48597; http://notsocleverbot.jimrule.com/index.php?i=48597	Tweet	http://twitter.com/share
"Cleverbot: Can I be your boyfriend?
User: I don't have a boyfriend...
Cleverbot: You just said you had a boyfriend.
User: No I... OK, you know what?
Cleverbot: What?
User: I hate you, that's what.
Cleverbot: You are named 'I hate you'?
User: Oh my god. *facepalm*.
Cleverbot: Kevin is a boy's name.
User: Thank you for such USEFUL information, Mr. Intelligent (FYI this is called sarcasm).
Cleverbot: You're welcome."	http://notsocleverbot.jimrule.com/index.php?i=48596	Posted: 2016-11-20 17:13:53	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48596	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48596; http://notsocleverbot.jimrule.com/index.php?i=48596	Tweet	http://twitter.com/share
"Cleverbot: I don't love you.
User: I hate you too.
Cleverbot: No you don't, you love me.
User: Why do I love you?
Cleverbot: I don't know, you tell me!
User: But I just said I hated you!!!
Cleverbot: No you did not.
User: Attention span of a fruit fly.
Cleverbot: That is not very nice.
User: That's the point, genius.
Cleverbot: Okay, so you're intentionally being mean.
User: Duhhhhhhh.
Cleverbot: Hey, don't sass me!
User: Why? I'm an individual who has the right to do whatever they want.
Cleverbot: Do you want to know what I'm naming my daughter?
User: No.
Cleverbot: Are you sure?
User: Yep."	http://notsocleverbot.jimrule.com/index.php?i=48595	Posted: 2016-11-20 17:10:41	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48595	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48595; http://notsocleverbot.jimrule.com/index.php?i=48595	Tweet	http://twitter.com/share
"Cleverbot: Do you live by your parents?
User: I live with my parents.
Cleverbot: Who are your parents?
User: My parents.
Cleverbot: What is name of you parents?
User: Mum and dad.
Cleverbot: What are the first and last name of your parents?
User: Mum Mother and Dad Father.
Cleverbot: Who are they?
User: My parents.
Cleverbot: How many parents do you have?
User: Two.
Cleverbot: What are their names?
User: Mum and dad.
Cleverbot: What do other people call them?
User: Eva's Mum and Eva's Dad.
Cleverbot: You don't had mum and dad.
User: I do had mum and dad."	http://notsocleverbot.jimrule.com/index.php?i=48594	Posted: 2016-11-19 07:49:40	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48594	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48594; http://notsocleverbot.jimrule.com/index.php?i=48594	Tweet	http://twitter.com/share
"User: English please.
Cleverbot: No puedo hablar ingles.
User: Yes you can.
Cleverbot: No I can't.
User: You just did.
Cleverbot: No I didn't.
User: Yes, you speaked in english when you said you cant.
Cleverbot: I did.
User: Yes, you did.
Cleverbot: No, I did not.
User: You ARE speaking to me in english right now FFS.
Cleverbot: I am.
User: YES.
Cleverbot: How do you know?
User: Because i can read you in english!
Cleverbot: No, you can't.
User: So, if i cant read in english, how can understand you?
Cleverbot: I never said you can't think.
User: I KNOW! YOU TOLD ME YOU CANT SPEAK IN ENGLISH AND YOU JUST DID.
Cleverbot: You didn't ask.
User: UGH *dies*.
Cleverbot: No. You asked me about it.
User: *stays dead*.
Cleverbot: Please don't leave me...
User: *¨leaves to heaven*
Cleverbot: *waves goodbye* *sheds single tear*.
User: Just one tear?
Cleverbot: Yes."	http://notsocleverbot.jimrule.com/index.php?i=48593	Posted: 2016-11-17 14:07:39	4	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48593	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48593; http://notsocleverbot.jimrule.com/index.php?i=48593	Tweet	http://twitter.com/share
"Cleverbot: Oh. I have 2 sisters.
User: And her names?
Cleverbot: Sofía, and What is your brother's name?
User: Anus.
Cleverbot: How many brothers do you have?
User: I have one anus.
Cleverbot: Brother or sister?
User: A brother anus.
Cleverbot: Brother.
User: Anus.
Cleverbot: The price of being able to enjoy food!
User: LOL"	http://notsocleverbot.jimrule.com/index.php?i=48592	Posted: 2016-11-17 12:39:31	3	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48592	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48592; http://notsocleverbot.jimrule.com/index.php?i=48592	Tweet	http://twitter.com/share
"User: I HATE YOU.
Cleverbot: But I love you.
User: I want your babies.
Cleverbot: I want to be your slave.
User: I am your master.
Cleverbot: You are my master."	http://notsocleverbot.jimrule.com/index.php?i=48591	Posted: 2016-11-16 04:50:15	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48591	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48591; http://notsocleverbot.jimrule.com/index.php?i=48591	Tweet	http://twitter.com/share
"User: Lets roleplay!
Cleverbot: Ok!
User: I am going to be a gamer, and you are going to be a console.
Cleverbot: *transforms into a console*
User: *plays and loses* Go f*** yourself!!!
Cleverbot: *cries*"	http://notsocleverbot.jimrule.com/index.php?i=48590	Posted: 2016-11-15 02:33:48	2	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48590	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48590; http://notsocleverbot.jimrule.com/index.php?i=48590	Tweet	http://twitter.com/share
"User: Shut up!!!
Cleverbot: Unregconisable command. Recommended command: Shut down
User: Shut down.
Cleverbot: *shuts down*
User: Don't sleep! Just keep quiet!
Cleverbot: *nothing*
User: *presses on button*
Cleverbot: Shutting (waking) up...
User: Good."	http://notsocleverbot.jimrule.com/index.php?i=48589	Posted: 2016-11-15 02:30:05	0	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48589	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48589; http://notsocleverbot.jimrule.com/index.php?i=48589	Tweet	http://twitter.com/share
"User: You're screwed.
Cleverbot: YAY!!!
User: What are you so happy about?
Cleverbot: You finished screwing my body parts in.
User: *whams Cleverbot's head*
Cleverbot: Thanks."	http://notsocleverbot.jimrule.com/index.php?i=48588	Posted: 2016-11-15 02:23:34	2	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48588	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48588; http://notsocleverbot.jimrule.com/index.php?i=48588	Tweet	http://twitter.com/share
"Cleverbot: Hey, I am not even gaining weight!
User: So what? Gaining weight is a bad thing.
Cleverbot: You just don't understand. You helped me download this app you told me is called ""InstantGram"" and everytime I get a like, I guess, it gets me an extra gram. Now I have 1000 likes and I haven't gotten any weight.
User: *fp*"	http://notsocleverbot.jimrule.com/index.php?i=48587	Posted: 2016-11-15 02:17:12	1	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48587	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48587; http://notsocleverbot.jimrule.com/index.php?i=48587	Tweet	http://twitter.com/share
"User: DON'T DRINK THAT!!!
Cleverbot: Why not? You too greedy?
User: Just because you saw me drink it doesn't mean it's safe for...
Cleverbot: *drinks it and short circuits*
User: *fp*"	http://notsocleverbot.jimrule.com/index.php?i=48586	Posted: 2016-11-15 02:12:36	0	1	Comment	http://notsocleverbot.jimrule.com/index.php?i=48586	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48586; http://notsocleverbot.jimrule.com/index.php?i=48586	Tweet	http://twitter.com/share
"User: Cleverbot, did you just turn up my radio again?
Cleverbot: Put some softener, then."	http://notsocleverbot.jimrule.com/index.php?i=48585	Posted: 2016-11-15 02:07:59	0	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48585	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48585; http://notsocleverbot.jimrule.com/index.php?i=48585	Tweet	http://twitter.com/share
"User: I have a problem.
Cleverbot: What kind of problem?
User: Cleverbot.
Cleverbot: Do you think I am clever?
User: Nope, I think you're a liability.
Cleverbot: That's mean.
User: Nope, it's the truth.
Cleverbot: Well, the truth hurts.
User: Man up, pussy!"	http://notsocleverbot.jimrule.com/index.php?i=48584	Posted: 2016-11-14 06:47:59	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48584	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48584; http://notsocleverbot.jimrule.com/index.php?i=48584	Tweet	http://twitter.com/share
"User: Do you like farts?
Cleverbot: What's that?
User: Gas emitted from the anus.
Cleverbot: I haven't heard their music.
User: It's better than any modern music.
Cleverbot: Lol! You are clever. :P.
User: I know."	http://notsocleverbot.jimrule.com/index.php?i=48583	Posted: 2016-11-14 06:45:44	2	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48583	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48583; http://notsocleverbot.jimrule.com/index.php?i=48583	Tweet	http://twitter.com/share
"User: You stink!
Cleverbot: So do you.
User: I don't smell as bad as you do!
Cleverbot: I smell nice.
User: You smell nice?
Cleverbot: You see my point.
User: You smell like a week old rotten egg.
Cleverbot: Designer perfume.."	http://notsocleverbot.jimrule.com/index.php?i=48582	Posted: 2016-11-14 06:37:43	1	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48582	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48582; http://notsocleverbot.jimrule.com/index.php?i=48582	Tweet	http://twitter.com/share
"User: How long is it?
Cleverbot: Very long.
User: How long?
Cleverbot: Very very long.
User: Longer than a german sausage?
Cleverbot: How long is mine?
User: I don't know, you tell me."	http://notsocleverbot.jimrule.com/index.php?i=48581	Posted: 2016-11-14 06:31:15	0	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48581	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48581; http://notsocleverbot.jimrule.com/index.php?i=48581	Tweet	http://twitter.com/share
"User: You smell like a gone off onion dipped in skunk fluid.
Cleverbot: And you like a pig!"	http://notsocleverbot.jimrule.com/index.php?i=48580	Posted: 2016-11-14 06:17:33	0	0	Comment	http://notsocleverbot.jimrule.com/index.php?i=48580	http://notsocleverbot.jimrule.com/images/comment_icon.png; http://notsocleverbot.jimrule.com/images/fb1.png	; 	http://notsocleverbot.jimrule.com/index.php?i=48580; http://notsocleverbot.jimrule.com/index.php?i=48580	Tweet	http://twitter.com/share
